IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,RATE_PER_10000_N
217795A,Density of doctors,COUNTRY,458,Malaysia,YEAR,1992,4.1
217795A,Density of doctors,COUNTRY,458,Malaysia,YEAR,1993,4.29
217795A,Density of doctors,COUNTRY,458,Malaysia,YEAR,2002,7.24
217795A,Density of doctors,COUNTRY,458,Malaysia,YEAR,1991,3.92
217795A,Density of doctors,COUNTRY,458,Malaysia,YEAR,2001,6.86
217795A,Density of doctors,COUNTRY,458,Malaysia,YEAR,2008,9.11
217795A,Density of doctors,COUNTRY,458,Malaysia,YEAR,1998,6.86
217795A,Density of doctors,COUNTRY,458,Malaysia,YEAR,1997,6.67
217795A,Density of doctors,COUNTRY,458,Malaysia,YEAR,2005,7.78
217795A,Density of doctors,COUNTRY,458,Malaysia,YEAR,1995,4.73
217795A,Density of doctors,COUNTRY,458,Malaysia,YEAR,1996,4.89
217795A,Density of doctors,COUNTRY,458,Malaysia,YEAR,2004,7.22
217795A,Density of doctors,COUNTRY,458,Malaysia,YEAR,2020,21.83
217795A,Density of doctors,COUNTRY,458,Malaysia,YEAR,2014,14.84
217795A,Density of doctors,COUNTRY,458,Malaysia,YEAR,2019,20.21
217795A,Density of doctors,COUNTRY,458,Malaysia,YEAR,2017,17.87
217795A,Density of doctors,COUNTRY,458,Malaysia,YEAR,2023,23.41
217795A,Density of doctors,COUNTRY,458,Malaysia,YEAR,2011,12.55
217795A,Density of doctors,COUNTRY,458,Malaysia,YEAR,2022,22.9
217795A,Density of doctors,COUNTRY,458,Malaysia,YEAR,2010,11.51
217795A,Density of doctors,COUNTRY,458,Malaysia,YEAR,2016,15.76
217795A,Density of doctors,COUNTRY,458,Malaysia,YEAR,2021,22.68
217795A,Density of doctors,COUNTRY,458,Malaysia,YEAR,1990,3.93
217795A,Density of doctors,COUNTRY,458,Malaysia,YEAR,2000,6.8
217795A,Density of doctors,COUNTRY,458,Malaysia,YEAR,2007,8.79
217795A,Density of doctors,COUNTRY,458,Malaysia,YEAR,2013,15.55
217795A,Density of doctors,COUNTRY,458,Malaysia,YEAR,1999,6.91
217795A,Density of doctors,COUNTRY,458,Malaysia,YEAR,2006,8.3
217795A,Density of doctors,COUNTRY,458,Malaysia,YEAR,2012,13.05
217795A,Density of doctors,COUNTRY,458,Malaysia,YEAR,2018,18.58
217795A,Density of doctors,COUNTRY,458,Malaysia,YEAR,1994,4.46
217795A,Density of doctors,COUNTRY,458,Malaysia,YEAR,2003,7.37
217795A,Density of doctors,COUNTRY,458,Malaysia,YEAR,2009,10.86
217795A,Density of doctors,COUNTRY,458,Malaysia,YEAR,2015,14.89
