IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,RATE_PER_10000_N
45CA7C8,Density of pharmacists,COUNTRY,458,Malaysia,YEAR,1995,0.76
45CA7C8,Density of pharmacists,COUNTRY,458,Malaysia,YEAR,2005,1.55
45CA7C8,Density of pharmacists,COUNTRY,458,Malaysia,YEAR,2012,3.25
45CA7C8,Density of pharmacists,COUNTRY,458,Malaysia,YEAR,1993,0.69
45CA7C8,Density of pharmacists,COUNTRY,458,Malaysia,YEAR,1994,0.76
45CA7C8,Density of pharmacists,COUNTRY,458,Malaysia,YEAR,2004,1.39
45CA7C8,Density of pharmacists,COUNTRY,458,Malaysia,YEAR,2011,2.96
45CA7C8,Density of pharmacists,COUNTRY,458,Malaysia,YEAR,2018,4.08
45CA7C8,Density of pharmacists,COUNTRY,458,Malaysia,YEAR,2001,1.09
45CA7C8,Density of pharmacists,COUNTRY,458,Malaysia,YEAR,2009,2.41
45CA7C8,Density of pharmacists,COUNTRY,458,Malaysia,YEAR,2016,3.31
45CA7C8,Density of pharmacists,COUNTRY,458,Malaysia,YEAR,2022,5.7
45CA7C8,Density of pharmacists,COUNTRY,458,Malaysia,YEAR,2000,1.02
45CA7C8,Density of pharmacists,COUNTRY,458,Malaysia,YEAR,2008,2.32
45CA7C8,Density of pharmacists,COUNTRY,458,Malaysia,YEAR,2015,3.37
45CA7C8,Density of pharmacists,COUNTRY,458,Malaysia,YEAR,2021,5.42
45CA7C8,Density of pharmacists,COUNTRY,458,Malaysia,YEAR,1998,0.97
45CA7C8,Density of pharmacists,COUNTRY,458,Malaysia,YEAR,1999,1.03
45CA7C8,Density of pharmacists,COUNTRY,458,Malaysia,YEAR,2007,1.69
45CA7C8,Density of pharmacists,COUNTRY,458,Malaysia,YEAR,2014,4.01
45CA7C8,Density of pharmacists,COUNTRY,458,Malaysia,YEAR,2020,5.64
45CA7C8,Density of pharmacists,COUNTRY,458,Malaysia,YEAR,1991,0.66
45CA7C8,Density of pharmacists,COUNTRY,458,Malaysia,YEAR,1992,0.72
45CA7C8,Density of pharmacists,COUNTRY,458,Malaysia,YEAR,2003,1.26
45CA7C8,Density of pharmacists,COUNTRY,458,Malaysia,YEAR,2017,3.57
45CA7C8,Density of pharmacists,COUNTRY,458,Malaysia,YEAR,1990,0.7
45CA7C8,Density of pharmacists,COUNTRY,458,Malaysia,YEAR,2002,1.17
45CA7C8,Density of pharmacists,COUNTRY,458,Malaysia,YEAR,2010,2.71
45CA7C8,Density of pharmacists,COUNTRY,458,Malaysia,YEAR,2023,6.26
45CA7C8,Density of pharmacists,COUNTRY,458,Malaysia,YEAR,1996,0.82
45CA7C8,Density of pharmacists,COUNTRY,458,Malaysia,YEAR,1997,0.82
45CA7C8,Density of pharmacists,COUNTRY,458,Malaysia,YEAR,2006,1.63
45CA7C8,Density of pharmacists,COUNTRY,458,Malaysia,YEAR,2013,3.34
45CA7C8,Density of pharmacists,COUNTRY,458,Malaysia,YEAR,2019,5.66
