,"Urban Population"
"1960",2116189
"1961",2224076
"1962",2337649
"1963",2456605
"1964",2580720
"1965",2709043
"1966",2841486
"1967",2976102
"1968",3113354
"1969",3255749
"1970",3405216
"1971",3572222
"1972",3747996
"1973",3930700
"1974",4121261
"1975",4319405
"1976",4526020
"1977",4740988
"1978",4964672
"1979",5197375
"1980",5458725
"1981",5735797
"1982",6027503
"1983",6335085
"1984",6659117
"1985",6999719
"1986",7355545
"1987",7723312
"1988",8101339
"1989",8486426
"1990",8879849
"1991",9276885
"1992",9758945
"1993",10262074
"1994",10782719
"1995",11321704
"1996",11878086
"1997",12448286
"1998",13033618
"1999",13627790
"2000",14234763
"2001",14803368
"2002",15390878
"2003",15987446
"2004",16592184
"2005",17205273
"2006",17827598
"2007",18456099
"2008",19085373
"2009",19708438
"2010",20320384
"2011",20882645
"2012",21438811
"2013",22006091
"2014",22585297
"2015",23178796
"2016",23791400
"2017",24411363
"2018",25024183
"2019",25617837
"2020",26149183
"2021",26636053
"2022",27136733
"2023",27650017
