Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Malaysia,MYS,2015,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,1730.753545104
Malaysia,MYS,2000,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,1355.586894293
Malaysia,MYS,1990,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,990.960314949
Malaysia,MYS,2015,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.52508304753466
Malaysia,MYS,2000,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.411263463633027
Malaysia,MYS,1990,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.30064156946694
Malaysia,MYS,2015,Urban land area (sq. km),AG.LND.TOTL.UR.K2,11417.635397424
Malaysia,MYS,2000,Urban land area (sq. km),AG.LND.TOTL.UR.K2,9469.324429869
Malaysia,MYS,1990,Urban land area (sq. km),AG.LND.TOTL.UR.K2,7531.974293058
Malaysia,MYS,2023,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Malaysia,MYS,2022,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Malaysia,MYS,2021,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Malaysia,MYS,2020,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Malaysia,MYS,2019,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Malaysia,MYS,2018,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Malaysia,MYS,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Malaysia,MYS,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Malaysia,MYS,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Malaysia,MYS,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Malaysia,MYS,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.9
Malaysia,MYS,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.9
Malaysia,MYS,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.8
Malaysia,MYS,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.6
Malaysia,MYS,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.9
Malaysia,MYS,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.4
Malaysia,MYS,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.3
Malaysia,MYS,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.3
Malaysia,MYS,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.2
Malaysia,MYS,2004,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.2
Malaysia,MYS,2003,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.2
Malaysia,MYS,2002,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.2
Malaysia,MYS,2001,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.2
Malaysia,MYS,2000,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.2
Malaysia,MYS,2020,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,16.1938532237922
Malaysia,MYS,2019,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,17.8197510834605
Malaysia,MYS,2018,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,16.6541753286852
Malaysia,MYS,2017,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,14.9450075810201
Malaysia,MYS,2016,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,16.3864419259472
Malaysia,MYS,2015,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,16.9297330913892
Malaysia,MYS,2014,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,17.1052502297433
Malaysia,MYS,2013,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,18.7954198873143
Malaysia,MYS,2012,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,17.9101382186238
Malaysia,MYS,2011,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,16.5543727413676
Malaysia,MYS,2010,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,17.5673365579308
Malaysia,MYS,2009,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,18.6838844595312
